uniq_isos	iso_ensgs	iso_gnames	regulator
SHROOM1	ENSG00000164403	SHROOM1	0
NCEH1	ENSG00000144959	NCEH1	0
GOT1L1	ENSG00000169154	GOT1L1	0
SP140L	ENSG00000185404	SP140L	1
ARRDC2	ENSG00000105643	ARRDC2	0
NOSTRIN	ENSG00000275326	NOSTRIN	0
GPX7	ENSG00000116157	GPX7	0
KIF3C	ENSG00000084731	KIF3C	0
CXCL16	ENSG00000161921	CXCL16	0
SGK1	ENSG00000118515	SGK1	0
GPR56	ENSG00000205336	GPR56	0
C6orf170	unmapped-none	C6orf170	0
KREMEN1	ENSG00000183762	KREMEN1	0
KL	ENSG00000133116	KL	0
SERPINB8	ENSG00000166401	SERPINB8	0
ELF3	ENSG00000163435	ELF3	1
RAPGEF4	ENSG00000091428	RAPGEF4	0
FGD1	ENSG00000102302	FGD1	0
ANKRD37	ENSG00000186352	ANKRD37	0
SLC35E4	ENSG00000100036	SLC35E4	0
SH2D4A	ENSG00000104611	SH2D4A	0
CDKN1A	ENSG00000124762	CDKN1A	0
EPB41L5	ENSG00000115109	EPB41L5	0
TBC1D8B	ENSG00000133138	TBC1D8B	0
SPTLC3	ENSG00000172296	SPTLC3	0
EID3	ENSG00000255150	EID3	0
SARS2	ENSG00000283104	SARS2	0
TMEM133	ENSG00000170647	TMEM133	0
RNFT2	ENSG00000135119	RNFT2	0
HTATIP2	ENSG00000109854	HTATIP2	0
ARAP2	ENSG00000047365	ARAP2	0
PGBD1	ENSG00000137338	PGBD1	0
STXBP4	ENSG00000166263	STXBP4	0
PION	ENSG00000186088	PION	0
HSD3B7	ENSG00000099377	HSD3B7	0
MYO18A	ENSG00000196535	MYO18A	0
TMEM2	ENSG00000135048	TMEM2	0
TMEM159	ENSG00000283997	TMEM159	0
UBA7	ENSG00000182179	UBA7	0
RHOB	ENSG00000143878	RHOB	0
ARMC2	ENSG00000118690	ARMC2	0
UCP2	ENSG00000175567	UCP2	0
SRGAP3	ENSG00000196220	SRGAP3	0
C16orf5	unmapped-none	C16orf5	0
CD97	ENSG00000123146	CD97	0
WTIP	ENSG00000142279	WTIP	0
