Gene	Ensembl	regulator	Gene.synonym	Gene.description
SYAP1	ENSG00000169895	0	FLJ14495, PRO3113	Synapse associated protein 1
ITGAM	ENSG00000169896	0	CD11B, CR3A, MAC-1	Integrin subunit alpha M
PYDC1	ENSG00000169900	0	ASC2, POP1	Pyrin domain containing 1
TPST1	ENSG00000169902	0	TANGO13A	Tyrosylprotein sulfotransferase 1
TM4SF4	ENSG00000169903	0	il-TMP	Transmembrane 4 L six family member 4
TOR1AIP2	ENSG00000169905	0	IFRG15, LULL1, NET9	Torsin 1A interacting protein 2
S100G	ENSG00000169906	0	CABP1, CABP9K, CALB3	S100 calcium binding protein G
TM4SF1	ENSG00000169908	0	L6, M3S1	Transmembrane 4 L six family member 1
OTUD3	ENSG00000169914	0	DUBA4, KIAA0459	OTU deubiquitinase 3
OTUD7A	ENSG00000169918	0	C15orf16, CEZANNE2, OTUD7	OTU deubiquitinase 7A
GUSB	ENSG00000169919	0		Glucuronidase beta
BRD3	ENSG00000169925	0	KIAA0043, ORFX, RING3L	Bromodomain containing 3
KLF13	ENSG00000169926	1	BTEB3, FKLF-2, NSLP1, RFLAT-1	Kruppel like factor 13
FRMPD4	ENSG00000169933	0	KIAA0316, PDZD10, PDZK10	FERM and PDZ domain containing 4
ZFPM2	ENSG00000169946	1	FOG2, hFOG-2, ZC2HC11B, ZNF89B	Zinc finger protein, FOG family member 2
ZNF764	ENSG00000169951	1	MGC13138	Zinc finger protein 764
HSFY2	ENSG00000169953	1	FLJ25453	Heat shock transcription factor Y-linked 2
ZNF747	ENSG00000169955	0	MGC2474	Zinc finger protein 747
ZNF768	ENSG00000169957	1	FLJ23436	Zinc finger protein 768
TAS1R3	ENSG00000169962	0	T1R3	Taste 1 receptor member 3
TMEM42	ENSG00000169964	0	MGC29956	Transmembrane protein 42
MAP3K2	ENSG00000169967	0	MEKK2, MEKK2B	Mitogen-activated protein kinase kinase kinase 2
PUSL1	ENSG00000169972	0	FLJ90811	Pseudouridine synthase like 1
SF3B5	ENSG00000169976	0	MGC3133, SF3b10, Ysf3	Splicing factor 3b subunit 5
ZNF35	ENSG00000169981	1	HF.10, HF10, Zfp105	Zinc finger protein 35
TIGD4	ENSG00000169989	0		Tigger transposable element derived 4
IFFO2	ENSG00000169991	0		Intermediate filament family orphan 2
NLGN2	ENSG00000169992	0	KIAA1366	Neuroligin 2
MYO7B	ENSG00000169994	0		Myosin VIIB
CHD3	ENSG00000170004	0	Mi-2a, Mi2-ALPHA, ZFH	Chromodomain helicase DNA binding protein 3
TMEM154	ENSG00000170006	0	FLJ32028	Transmembrane protein 154
MYRIP	ENSG00000170011	0	DKFZp586F1018, exophilin-8, SLAC2-C, SLAC2C	Myosin VIIA and Rab interacting protein
ALCAM	ENSG00000170017	0	CD166, MEMD	Activated leukocyte cell adhesion molecule
YWHAG	ENSG00000170027	0	14-3-3ÃŽÂ³, 14-3-3GAMMA, PPP1R170	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
UBE2E3	ENSG00000170035	0	UbcH9	Ubiquitin conjugating enzyme E2 E3
CNTROB	ENSG00000170037	0	LIP8, PP1221	Centrobin, centriole duplication and spindle assembly protein
TRAPPC1	ENSG00000170043	0	BET5, MUM2	Trafficking protein particle complex 1
ZPLD1	ENSG00000170044	0		Zona pellucida like domain containing 1
KCNAB3	ENSG00000170049	0	AKR6A9, KCNA3B	Potassium voltage-gated channel subfamily A regulatory beta subunit 3
SERPINA9	ENSG00000170054	0	CENTERIN, GCET1, SERPINA11b	Serpin family A member 9
FAM153A	ENSG00000170074	0	NY-REN-7	Family with sequence similarity 153 member A
GPR37L1	ENSG00000170075	0	ETBR-LP-2	G protein-coupled receptor 37 like 1
SIMC1	ENSG00000170085	0	C5orf25, FLJ44216, OOMA1, PLEIAD	SUMO interacting motifs containing 1
TMEM192	ENSG00000170088	0	FLJ38482	Transmembrane protein 192
NSG2	ENSG00000170091	0	CALY3, HMP19	Neuronal vesicle trafficking associated 2
SPDYE5	ENSG00000170092	0		Speedy/RINGO cell cycle regulator family member E5
SERPINA6	ENSG00000170099	0	CBG	Serpin family A member 6
ZNF778	ENSG00000170100	1	FLJ31875	Zinc finger protein 778
NIPA1	ENSG00000170113	0	MGC35570, SLC57A1, SPG6	NIPA magnesium transporter 1
FOXD4	ENSG00000170122	1	FKHL9, FOXD4a, FREAC5	Forkhead box D4
GPR25	ENSG00000170128	0		G protein-coupled receptor 25
UBE2E1	ENSG00000170142	0	UbcH6	Ubiquitin conjugating enzyme E2 E1
HNRNPA3	ENSG00000170144	0	HNRPA3	Heterogeneous nuclear ribonucleoprotein A3
SIK2	ENSG00000170145	0	DKFZp434K1115, KIAA0781, LOH11CR1I, QIK, SNF1LK2	Salt inducible kinase 2
AL391987.1	ENSG00000170152	0		
RNF150	ENSG00000170153	0	KIAA1214	Ring finger protein 150
CCDC144A	ENSG00000170160	0	FLJ43983, KIAA0565	Coiled-coil domain containing 144A
VGLL2	ENSG00000170162	0		Vestigial like family member 2
HOXD4	ENSG00000170166	1	HOX4, HOX4B	Homeobox D4
CHRNB1	ENSG00000170175	0	CHRNB	Cholinergic receptor nicotinic beta 1 subunit
HOXD12	ENSG00000170178	1	HOX4H	Homeobox D12
GYPA	ENSG00000170180	0	CD235a, GPA, MN, MNS	Glycophorin A (MNS blood group)
USP38	ENSG00000170185	0	HP43.8KD, KIAA1891	Ubiquitin specific peptidase 38
SLC16A5	ENSG00000170190	0	MCT5, MCT6	Solute carrier family 16 member 5
NANP	ENSG00000170191	0	C20orf147, dJ694B14.3, HDHD4, MGC26833	N-acetylneuraminic acid phosphatase
ANKK1	ENSG00000170209	0	X-kinase	Ankyrin repeat and kinase domain containing 1
ADRA1B	ENSG00000170214	0		Adrenoceptor alpha 1B
ADPRM	ENSG00000170222	0	C17orf48, MDS006	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent
FABP6	ENSG00000170231	0	I-15P, I-BABP, I-BALB, I-BAP, ILBP, ILBP3, ILLBP	Fatty acid binding protein 6
PWWP2A	ENSG00000170234	0	KIAA1935	PWWP domain containing 2A
USP50	ENSG00000170236	0		Ubiquitin specific peptidase 50
USP47	ENSG00000170242	0		Ubiquitin specific peptidase 47
PDCD6IP	ENSG00000170248	0	AIP1, Alix, Hp95	Programmed cell death 6 interacting protein
MRGPRX1	ENSG00000170255	0	MRGX1	MAS related GPR family member X1
ZNF212	ENSG00000170260	1	C2H2-150	Zinc finger protein 212
MRAP	ENSG00000170262	0	B27, C21orf61, FALP	Melanocortin 2 receptor accessory protein
FAM161A	ENSG00000170264	0	FLJ13305, RP28	FAM161 centrosomal protein A
ZNF282	ENSG00000170265	1	HUB1	Zinc finger protein 282
GLB1	ENSG00000170266	0	EBP, ELNR1	Galactosidase beta 1
GON7	ENSG00000170270	0	C14orf142	GON7 subunit of KEOPS complex
FAXDC2	ENSG00000170271	0	C5orf4, FLJ13758	Fatty acid hydroxylase domain containing 2
CRTAP	ENSG00000170275	0	CASP, LEPREL3, P3H5	Cartilage associated protein
HSPB2	ENSG00000170276	0	Hs.78846, MKBP	Heat shock protein family B (small) member 2
C7orf33	ENSG00000170279	0		Chromosome 7 open reading frame 33
CNGB3	ENSG00000170289	0	ACHM1, ACHM3, RMCH	Cyclic nucleotide gated channel subunit beta 3
SLN	ENSG00000170290	0	MGC12301, MGC125854, MGC125855	Sarcolipin
ELP5	ENSG00000170291	0	C17orf81, DERP6	Elongator acetyltransferase complex subunit 5
CMTM8	ENSG00000170293	0	CKLFSF8	CKLF like MARVEL transmembrane domain containing 8
GABARAP	ENSG00000170296	0	ATG8A, MM46	GABA type A receptor-associated protein
LGALS9B	ENSG00000170298	0		Galectin 9B
STX8	ENSG00000170310	0	CARB	Syntaxin 8
CDK1	ENSG00000170312	0	CDC2, CDC28A	Cyclin dependent kinase 1
UBB	ENSG00000170315	0	FLJ25987, MGC8385	Ubiquitin B
NFRKB	ENSG00000170322	0	DKFZp547B2013, INO80G	Nuclear factor related to kappaB binding protein
FABP4	ENSG00000170323	0	A-FABP, aP2	Fatty acid binding protein 4
FRMPD2	ENSG00000170324	0	MGC35285, PDZD5C, PDZK5C	FERM and PDZ domain containing 2
PRDM10	ENSG00000170325	1	KIAA1231, MGC131802, PFM7	PR/SET domain 10
B3GNT2	ENSG00000170340	0	B3GN-T1, B3GN-T2, B3GNT-2, B3GNT1, BETA3GNT	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2
FOS	ENSG00000170345	1	AP-1, c-fos	Fos proto-oncogene, AP-1 transcription factor subunit
TMED10	ENSG00000170348	0	p23, P24(DELTA), p24d1, p24delta1, TMP21	Transmembrane p24 trafficking protein 10
SETMAR	ENSG00000170364	0	metnase	SET domain and mariner transposase fusion gene
SMAD1	ENSG00000170365	1	JV4-1, MADH1, MADR1	SMAD family member 1
CST5	ENSG00000170367	0		Cystatin D
CST2	ENSG00000170369	0		Cystatin SA
EMX2	ENSG00000170370	1		Empty spiracles homeobox 2
CST1	ENSG00000170373	0		Cystatin SN
SP7	ENSG00000170374	1	osterix, OSX	Sp7 transcription factor
TCAF2	ENSG00000170379	0	FAM115C, FAM139A, FLJ40722, GATD9	TRPM8 channel associated factor 2
SEMA3E	ENSG00000170381	0	coll-5, KIAA0331, M-SemaK, SEMAH	Semaphorin 3E
LRRN2	ENSG00000170382	0	FIGLER7, GAC1, LRANK1, LRRN5	Leucine rich repeat neuronal 2
SLC30A1	ENSG00000170385	0	ZNT1, ZRC1	Solute carrier family 30 member 1
DCLK2	ENSG00000170390	0	DCAMKL2, DCDC3, DCDC3B, DCK2, MGC45428	Doublecortin like kinase 2
ZNF804A	ENSG00000170396	0	C2orf10	Zinc finger protein 804A
GPRC5C	ENSG00000170412	0	RAIG-3	G protein-coupled receptor class C group 5 member C
TMEM182	ENSG00000170417	0	FLJ30294	Transmembrane protein 182
VSTM2A	ENSG00000170419	0	MGC33530, VSTM2	V-set and transmembrane domain containing 2A
KRT8	ENSG00000170421	0	CARD2, CK8, CYK8, K2C8, K8, KO	Keratin 8
KRT78	ENSG00000170423	0	K5B	Keratin 78
ADORA2B	ENSG00000170425	0		Adenosine A2b receptor
SDR9C7	ENSG00000170426	0	RDHS, SDR-O	Short chain dehydrogenase/reductase family 9C member 7
MGMT	ENSG00000170430	0		O-6-methylguanine-DNA methyltransferase
METTL7B	ENSG00000170439	0	ALDI, MGC17301	Methyltransferase like 7B
KRT86	ENSG00000170442	0	Hb6, KRTHB6, MNX	Keratin 86
HARS1	ENSG00000170445	0	HARS, HisRS, USH3B	Histidyl-tRNA synthetase 1
NFXL1	ENSG00000170448	1	HOZFP	Nuclear transcription factor, X-box binding like 1
KRT75	ENSG00000170454	0	K6HF	Keratin 75
DENND5B	ENSG00000170456	0	MGC24039	DENN domain containing 5B
CD14	ENSG00000170458	0		CD14 molecule
DNAJC18	ENSG00000170464	0	MGC29463	DnaJ heat shock protein family (Hsp40) member C18
KRT6C	ENSG00000170465	0	KRT6E	Keratin 6C
RIOX1	ENSG00000170468	0	C14orf169, FLJ21802, JMJD9, MAPJD, NO66	Ribosomal oxygenase 1
SPATA24	ENSG00000170469	0	CCDC161, T6441	Spermatogenesis associated 24
RALGAPB	ENSG00000170471	0	DKFZp781M2411, KIAA1219, RalGAPbeta	Ral GTPase activating protein non-catalytic subunit beta
PYM1	ENSG00000170473	0	PYM, WIBG	PYM homolog 1, exon junction complex associated factor
MZB1	ENSG00000170476	0	HSPC190, MEDA-7, MGC29506, PACAP, pERp1	Marginal zone B and B1 cell specific protein
KRT4	ENSG00000170477	0	CK4, CYK4, K4	Keratin 4
SLC23A1	ENSG00000170482	0	SLC23A2, SVCT1, YSPL3	Solute carrier family 23 member 1
KRT74	ENSG00000170484	0	K6IRS4, KRT5C, KRT6IRS4	Keratin 74
NPAS2	ENSG00000170485	1	bHLHe9, MOP4, PASD4	Neuronal PAS domain protein 2
KRT72	ENSG00000170486	0	K6irs, K6IRS2, KRT6, KRT6IRS2	Keratin 72
KISS1	ENSG00000170498	0		KiSS-1 metastasis suppressor
LONRF2	ENSG00000170500	0	FLJ45273, RNF192	LON peptidase N-terminal domain and ring finger 2
NUDT9	ENSG00000170502	0	MGC3037	Nudix hydrolase 9
HSD17B13	ENSG00000170509	0	SCDR9, SDR16C3	Hydroxysteroid 17-beta dehydrogenase 13
PA2G4	ENSG00000170515	0		Proliferation-associated 2G4
COX7B2	ENSG00000170516	0		Cytochrome c oxidase subunit 7B2
ELOVL6	ENSG00000170522	0	FLJ23378, LCE, MGC5487	ELOVL fatty acid elongase 6
KRT83	ENSG00000170523	0	Hb-3, KRTHB3	Keratin 83
PFKFB3	ENSG00000170525	0		6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
TMC7	ENSG00000170537	0	FLJ21240	Transmembrane channel like 7
ARL6IP1	ENSG00000170540	0	AIP1, ARL6IP, ARMER, KIAA0069, SPG61	ADP ribosylation factor like GTPase 6 interacting protein 1
SERPINB9	ENSG00000170542	0	CAP3, PI9	Serpin family B member 9
SMAGP	ENSG00000170545	0	hSMAGP, MGC149453, MGC149454	Small cell adhesion glycoprotein
IRX1	ENSG00000170549	1	IRX-5	Iroquois homeobox 1
CDH2	ENSG00000170558	0	CD325, CDHN, NCAD	Cadherin 2
IRX2	ENSG00000170561	1		Iroquois homeobox 2
EMB	ENSG00000170571	0	MGC71745	Embigin
SIX2	ENSG00000170577	1		SIX homeobox 2
DLGAP1	ENSG00000170579	0	DAP-1, GKAP, SAPAP1	DLG associated protein 1
STAT2	ENSG00000170581	1	STAT113	Signal transducer and activator of transcription 2
NUDCD2	ENSG00000170584	0	DKFZp686E10109, NudCL2	NudC domain containing 2
IRF2BP1	ENSG00000170604	0	DKFZP434M154, IRF-2BP1	Interferon regulatory factor 2 binding protein 1
OR9K2	ENSG00000170605	0		Olfactory receptor family 9 subfamily K member 2
HSPA4	ENSG00000170606	0	HS24/P52, HSPH2	Heat shock protein family A (Hsp70) member 4
FOXA3	ENSG00000170608	1	HNF3G	Forkhead box A3
FAM71B	ENSG00000170613	0	MGC26988	Family with sequence similarity 71 member B
SLC26A5	ENSG00000170615	0	DFNB61, PRES	Solute carrier family 26 member 5
COMMD5	ENSG00000170619	0	FLJ13008, HCaRG, HT002	COMM domain containing 5
SGCD	ENSG00000170624	0	CMD1L, DAGD, LGMD2F	Sarcoglycan delta
GTSF1	ENSG00000170627	0	Cue110, FAM112B, FLJ32942	Gametocyte specific factor 1
ZNF16	ENSG00000170631	1	KOX9	Zinc finger protein 16
ARMC10	ENSG00000170632	0	MGC3195, SVH	Armadillo repeat containing 10
RNF34	ENSG00000170633	0	FLJ21786, RIF, RIFF	Ring finger protein 34
ACYP2	ENSG00000170634	0		Acylphosphatase 2
TRABD	ENSG00000170638	0	PP2447	TraB domain containing
ATF7	ENSG00000170653	1	ATFA	Activating transcription factor 7
RASA4B	ENSG00000170667	0		RAS p21 protein activator 4B
SOCS6	ENSG00000170677	0	CIS4, Cish4, HSPC060, SOCS4, SSI4, STAI4, STATI4	Suppressor of cytokine signaling 6
CAVIN4	ENSG00000170681	0	cavin-4, MURC	Caveolae associated protein 4
OR10A3	ENSG00000170683	0	HSHTPCRX12, HTPCRX12	Olfactory receptor family 10 subfamily A member 3
ZNF296	ENSG00000170684	1	ZNF342	Zinc finger protein 296
HOXB9	ENSG00000170689	1	HOX2, HOX2E	Homeobox B9
TTLL6	ENSG00000170703	0	FLJ35808	Tubulin tyrosine ligase like 6
POLH	ENSG00000170734	0	RAD30A, XP-V	DNA polymerase eta
SYT9	ENSG00000170743	0		Synaptotagmin 9
KCNS3	ENSG00000170745	0	Kv9.3	Potassium voltage-gated channel modifier subfamily S member 3
RBMXL2	ENSG00000170748	0	HNRNPG-T, HNRPGT	RBMX like 2
KIF5B	ENSG00000170759	0	KNS, KNS1	Kinesin family member 5B
GPR37	ENSG00000170775	0	EDNRBL, hET(B)R-LP, PAELR	G protein-coupled receptor 37
AKAP13	ENSG00000170776	0	AKAP-Lbc, ARHGEF13, BRX, c-lbc, HA-3, Ht31, LBC, PROTO-LB	A-kinase anchoring protein 13
TPD52L3	ENSG00000170777	0	D55, NYD-SP25, TPD55	TPD52 like 3
CDCA4	ENSG00000170779	0	FLJ20764, Hepp	Cell division cycle associated 4
OR10A4	ENSG00000170782	0	OR10A4P	Olfactory receptor family 10 subfamily A member 4
SDR16C5	ENSG00000170786	0	EPHD-2, RDH-E2, RDHE2	Short chain dehydrogenase/reductase family 16C member 5
DYDC1	ENSG00000170788	0	bA36D19.5, DPY30D1	DPY30 domain containing 1
OR10A2	ENSG00000170790	0	OR10A2P, OST363	Olfactory receptor family 10 subfamily A member 2
CHCHD7	ENSG00000170791	0	COX23, MGC2217	Coiled-coil-helix-coiled-coil-helix domain containing 7
HTRA3	ENSG00000170801	0	Prsp, Tasp	HtrA serine peptidase 3
FOXN2	ENSG00000170802	1	HTLF	Forkhead box N2
LMOD2	ENSG00000170807	0		Leiomodin 2
BFSP2	ENSG00000170819	0	CP47, CP49, LIFL-L, phakinin	Beaded filament structural protein 2
FSHR	ENSG00000170820	0	FSHRO, LGR1, ODG1	Follicle stimulating hormone receptor
USP32	ENSG00000170832	0	NY-REN-60, USP10	Ubiquitin specific peptidase 32
CEL	ENSG00000170835	0	BSSL, MODY8	Carboxyl ester lipase
PPM1D	ENSG00000170836	0	PP2C-DELTA, Wip1	Protein phosphatase, Mg2+/Mn2+ dependent 1D
GPR27	ENSG00000170837	0	SREB1	G protein-coupled receptor 27
AC093323.1	ENSG00000170846	0		Novel protein, similar to Morf4 family associated protein 1
PSG6	ENSG00000170848	0		Pregnancy specific beta-1-glycoprotein 6
KBTBD2	ENSG00000170852	0	BKLHD1, DKFZP566C134	Kelch repeat and BTB domain containing 2
RIOX2	ENSG00000170854	0	FLJ14393, JMJD10, mdig, MINA, MINA53, NO52	Ribosomal oxygenase 2
TRIAP1	ENSG00000170855	0	HSPC132, MDM35, P53CSV, WF-1	TP53 regulated inhibitor of apoptosis 1
LSM3	ENSG00000170860	0	SMX4, USS2, YLR438C	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated
KIAA0232	ENSG00000170871	0		KIAA0232
MTSS1	ENSG00000170873	0	KIAA0429, MIM, MIMA, MIMB	MTSS I-BAR domain containing 1
TMEM43	ENSG00000170876	0	ARVD5, DKFZp586G1919, LUMA, MGC3222	Transmembrane protein 43
RNF139	ENSG00000170881	0	HRCA1, RCA1, TRC8	Ring finger protein 139
RPS9	ENSG00000170889	0	S9	Ribosomal protein S9
PLA2G1B	ENSG00000170890	0	PLA2, PLA2A, PPLA2	Phospholipase A2 group IB
CYTL1	ENSG00000170891	0	C17, C4orf4	Cytokine like 1
TSEN34	ENSG00000170892	0	LENG5, SEN34, SEN34L	TRNA splicing endonuclease subunit 34
TRH	ENSG00000170893	0		Thyrotropin releasing hormone
GSTA4	ENSG00000170899	0		Glutathione S-transferase alpha 4
MSANTD4	ENSG00000170903	0	KIAA1826	Myb/SANT DNA binding domain containing 4 with coiled-coils
NDUFA3	ENSG00000170906	0	B9	NADH:ubiquinone oxidoreductase subunit A3
OSCAR	ENSG00000170909	0		Osteoclast associated Ig-like receptor
PAQR8	ENSG00000170915	0	C6orf33, LMPB1, MPRB	Progestin and adipoQ receptor family member 8
NUDT6	ENSG00000170917	0	FGF-AS, FGF2AS, gfg, gfg-1	Nudix hydrolase 6
OR7G3	ENSG00000170920	0	OST085	Olfactory receptor family 7 subfamily G member 3
TANC2	ENSG00000170921	0	DKFZP564D166, FLJ10215, FLJ11824, KIAA1148, KIAA1636, rols, ROLSA	Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
OR7G2	ENSG00000170923	0	OST260	Olfactory receptor family 7 subfamily G member 2
TEX13B	ENSG00000170925	0	TGC3B, TSGA5	Testis expressed 13B
PKHD1	ENSG00000170927	0	ARPKD, FCYT, FPC, TIGM1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin
OR1M1	ENSG00000170929	0	OR19-6	Olfactory receptor family 1 subfamily M member 1
NCBP2L	ENSG00000170935	0		Nuclear cap binding protein subunit 2 like
DNAJC24	ENSG00000170946	0	DPH4, JJJ3, ZCSL3	DnaJ heat shock protein family (Hsp40) member C24
MBD3L1	ENSG00000170948	0	MBD3L	Methyl-CpG binding domain protein 3 like 1
ZNF160	ENSG00000170949	1	F11, FLJ00032, HKr18, HZF5, KIAA1611, KR18	Zinc finger protein 160
PGK2	ENSG00000170950	0	PGK-2, PGKPS	Phosphoglycerate kinase 2
OR8B12	ENSG00000170953	0		Olfactory receptor family 8 subfamily B member 12
ZNF415	ENSG00000170954	1		Zinc finger protein 415
CAVIN3	ENSG00000170955	0	cavin-3, HSRBC, MGC20400, PRKCDBP, SRBC	Caveolae associated protein 3
CEACAM3	ENSG00000170956	0	CD66d, CGM1	CEA cell adhesion molecule 3
DCDC1	ENSG00000170959	0	DCDC5, FLJ46154	Doublecortin domain containing 1
HAS2	ENSG00000170961	0		Hyaluronan synthase 2
PDGFD	ENSG00000170962	0	IEGF, MSTP036, SCDGF-B	Platelet derived growth factor D
PLAC1	ENSG00000170965	0	CT92, OOSP2B, OOSP2L	Placenta enriched 1
DDI1	ENSG00000170967	0	FLJ36017	DNA damage inducible 1 homolog 1
S1PR1	ENSG00000170989	0	CD363, D1S3362, edg-1, EDG1	Sphingosine-1-phosphate receptor 1
HS6ST2	ENSG00000171004	0		Heparan sulfate 6-O-sulfotransferase 2
OR4D5	ENSG00000171014	0		Olfactory receptor family 4 subfamily D member 5
PYGO1	ENSG00000171016	0		Pygopus family PHD finger 1
LRRC8E	ENSG00000171017	0	FLJ23420	Leucine rich repeat containing 8 VRAC subunit E
PKIA	ENSG00000171033	0	PRKACN1	CAMP-dependent protein kinase inhibitor alpha
XKR6	ENSG00000171044	0	C8orf21, C8orf5, C8orf7	XK related 6
TSNARE1	ENSG00000171045	0	FLJ31164	T-SNARE domain containing 1
FPR2	ENSG00000171049	0	ALXR, FMLP-R-II, FMLPX, FPR2A, FPRH2, FPRL1, HM63, LXA4R	Formyl peptide receptor 2
FPR1	ENSG00000171051	0	FMLP, FPR	Formyl peptide receptor 1
PATE1	ENSG00000171053	0	PATE	Prostate and testis expressed 1
OR13H1	ENSG00000171054	0		Olfactory receptor family 13 subfamily H member 1
FEZ2	ENSG00000171055	0		Fasciculation and elongation protein zeta 2
SOX7	ENSG00000171056	1		SRY-box transcription factor 7
C8orf74	ENSG00000171060	0		Chromosome 8 open reading frame 74
C11orf24	ENSG00000171067	0	DM4E3	Chromosome 11 open reading frame 24
ALK	ENSG00000171094	0	CD246	ALK receptor tyrosine kinase
KYAT1	ENSG00000171097	0	CCBL1, GTK, KATI	Kynurenine aminotransferase 1
MTM1	ENSG00000171100	0		Myotubularin 1
OBP2B	ENSG00000171102	0	hOBPIIb, LCN14	Odorant binding protein 2B
TRMT61B	ENSG00000171103	0	FLJ20628	TRNA methyltransferase 61B
INSR	ENSG00000171105	0	CD220	Insulin receptor
MFN1	ENSG00000171109	0	FLJ20693	Mitofusin 1
GIMAP8	ENSG00000171115	0	DKFZp667I133, hIAN6, IAN9	GTPase, IMAP family member 8
HSFX1	ENSG00000171116	1	LW-1	Heat shock transcription factor family, X-linked 1
NRTN	ENSG00000171119	0	NTN	Neurturin
KCNMB3	ENSG00000171121	0	KCNMB2, KCNMBL	Potassium calcium-activated channel subfamily M regulatory beta subunit 3
FUT3	ENSG00000171124	0	CD174, LE	Fucosyltransferase 3 (Lewis blood group)
KCNG3	ENSG00000171126	0	Kv6.3	Potassium voltage-gated channel modifier subfamily G member 3
ATP6V0E2	ENSG00000171130	0	ATP6V0E2L, C7orf32	ATPase H+ transporting V0 subunit e2
PRKCE	ENSG00000171132	0		Protein kinase C epsilon
OR2K2	ENSG00000171133	0	HSHTPCRH06, HTPCRH06, OR2AR1P	Olfactory receptor family 2 subfamily K member 2
JAGN1	ENSG00000171135	0	FLJ14602, GL009	Jagunal homolog 1
RLN3	ENSG00000171136	0	H3, RXN3, ZINS4	Relaxin 3
TADA3	ENSG00000171148	0	ADA3, FLJ20221, FLJ21329, hADA3, NGG1, TADA3L	Transcriptional adaptor 3
SOCS5	ENSG00000171150	0	CIS6, Cish5, CISH6, KIAA0671, SOCS-5	Suppressor of cytokine signaling 5
C1GALT1C1	ENSG00000171155	0	C1GALT2, COSMC	C1GALT1 specific chaperone 1
C9orf16	ENSG00000171159	0	EST00098, FLJ12823, MGC4639	Chromosome 9 open reading frame 16
MORN4	ENSG00000171160	0	bA548K23.4, C10orf83, FLJ25925, rtp	MORN repeat containing 4
ZNF672	ENSG00000171161	1	FLJ22301	Zinc finger protein 672
ZNF692	ENSG00000171163	1	AREBP, FLJ20531, Zfp692	Zinc finger protein 692
NAIF1	ENSG00000171169	0	bA379C10.2, C9orf90, DKFZp762G199	Nuclear apoptosis inducing factor 1
RBKS	ENSG00000171174	0	DKFZp686G13268, RBSK	Ribokinase
OR2M4	ENSG00000171180	0	HSHTPCRX18, HTPCRX18, OST710, TPCR100	Olfactory receptor family 2 subfamily M member 4
GRIK1	ENSG00000171189	0	GluK1, GLUR5	Glutamate ionotropic receptor kainate type subunit 1
MUC7	ENSG00000171195	0	FLJ27047, MG2	Mucin 7, secreted
OPRPN	ENSG00000171199	0	BPLP, PRL1, PROL1	Opiorphin prepropeptide
SMR3B	ENSG00000171201	0	P-B, PRL3, PROL3	Submaxillary gland androgen regulated protein 3B
TMEM126A	ENSG00000171202	0	DKFZp586C1924, OPA7	Transmembrane protein 126A
TMEM126B	ENSG00000171204	0	HT007	Transmembrane protein 126B
TRIM8	ENSG00000171206	0	GERP, RNF27	Tripartite motif containing 8
NETO2	ENSG00000171208	0	FLJ10430, NEOT2	Neuropilin and tolloid like 2
CSN3	ENSG00000171209	0	CSN10	Casein kappa
CLDN20	ENSG00000171217	0		Claudin 20
CDC42BPG	ENSG00000171219	0	DMPK2, HSMDPKIN, kappa-200, MRCKgamma	CDC42 binding protein kinase gamma
SCAND1	ENSG00000171222	0	RAZ1, SDP1	SCAN domain containing 1
JUNB	ENSG00000171223	1		JunB proto-oncogene, AP-1 transcription factor subunit
FAM241B	ENSG00000171224	0	C10orf35	Family with sequence similarity 241 member B
TMEM37	ENSG00000171227	0	PR, PR1	Transmembrane protein 37
UGT2B7	ENSG00000171234	0	UGT2B9	UDP glucuronosyltransferase family 2 member B7
LRG1	ENSG00000171236	0	LRG	Leucine rich alpha-2-glycoprotein 1
SHCBP1	ENSG00000171241	0	FLJ22009, PAL	SHC binding and spindle associated 1
SOSTDC1	ENSG00000171243	0	DAND7, DKFZp564D206, USAG1	Sclerostin domain containing 1
NPTX1	ENSG00000171246	0		Neuronal pentraxin 1
FAM98B	ENSG00000171262	0	FLJ38426	Family with sequence similarity 98 member B
ZNF439	ENSG00000171291	1	DKFZp571K0837	Zinc finger protein 439
ZNF440	ENSG00000171295	1	FLJ37933	Zinc finger protein 440
GAA	ENSG00000171298	0		Glucosidase alpha, acid
CANT1	ENSG00000171302	0	SCAN-1, SHAPY	Calcium activated nucleotidase 1
KCNK3	ENSG00000171303	0	K2p3.1, TASK, TASK-1, TASK1	Potassium two pore domain channel subfamily K member 3
ZDHHC16	ENSG00000171307	0	APH2	Zinc finger DHHC-type palmitoyltransferase 16
CHST11	ENSG00000171310	0	C4ST, C4St-1, C4ST1, HSA269537	Carbohydrate sulfotransferase 11
EXOSC1	ENSG00000171311	0	CGI-108, CSL4, Csl4p, hCsl4p, p13, SKI4, Ski4p	Exosome component 1
PGAM1	ENSG00000171314	0	PGAM-B, PGAMA	Phosphoglycerate mutase 1
